Symbol,Name,Long Initial Margin,Long Maint Margin,Short Initial Margin,Short Maint Margin,Risk Rate
ACGL,,0.3,0.25,0.35,0.3,
ACHC,,0.8,0.75,0.4,0.35,
ACHR,,0.5,0.45,0.65,0.6,
ACI,,0.3,0.25,0.35,0.3,
ACI1,,0.3,0.25,0.35,0.3,
ACIC,,0.9,0.85,0.75,0.7,
ACIO,,0.4,0.25,0.35,0.3,
ACIW,,0.7,0.65,0.4,0.35,
ACLC,,0.45,0.4,,,
ACLS,,0.8,0.75,0.45,0.4,
ACLX,,0.7,0.65,0.4,0.35,
ACM,,0.3,0.25,0.35,0.3,
ACMR,,0.8,0.75,0.6,0.55,
ACN,,0.3,0.25,0.35,0.3,
ACNB,,0.9,0.85,,,
ACP,,0.45,0.4,0.5,0.45,
ACRE,,0.9,0.85,,,
ACT,,0.4,0.35,0.45,0.4,
ACTG,,0.9,0.85,,,
ACVA,,0.7,0.65,0.45,0.4,
ACWI,,0.3,0.25,0.35,0.3,
ACWV,,0.3,0.25,0.35,0.3,
ACWX,,0.3,0.25,0.35,0.3,
AD,,1.0,1.0,1.0,0.95,
ADAM,,0.9,0.85,1.0,0.95,
ADBE,,0.3,0.25,0.35,0.3,
ADC,,0.5,0.45,0.4,0.35,
ADCT,,0.9,0.85,,,
ADEA,,0.8,0.75,0.75,0.7,
ADI,,0.3,0.25,0.35,0.3,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
ACDC,,0.8,0.75,0.7,0.65,
ACEL,,0.9,0.85,0.55,0.5,
ACES,,0.6,0.55,,,
ACGL,,0.3,0.25,0.35,0.3,
ACHC,,0.8,0.75,0.4,0.35,
ACHR,,0.5,0.45,0.65,0.6,
ACI,,0.3,0.25,0.35,0.3,
ACI1,,0.3,0.25,0.35,0.3,
ACIC,,0.9,0.85,0.75,0.7,
ACIO,,0.4,0.25,0.35,0.3,
ACIW,,0.7,0.65,0.4,0.35,
ACLC,,0.45,0.4,,,
ACLS,,0.8,0.75,0.45,0.4,
ACLX,,0.7,0.65,0.4,0.35,
ACM,,0.3,0.25,0.35,0.3,
ACMR,,0.8,0.75,0.6,0.55,
ACN,,0.3,0.25,0.35,0.3,
ACNB,,0.9,0.85,,,
ACP,,0.45,0.4,0.5,0.45,
ACRE,,0.9,0.85,,,
ACT,,0.4,0.35,0.45,0.4,
ACTG,,0.9,0.85,,,
ACVA,,0.7,0.65,0.45,0.4,
ACWI,,0.3,0.25,0.35,0.3,
ACWV,,0.3,0.25,0.35,0.3,
ACWX,,0.3,0.25,0.35,0.3,
AD,,1.0,1.0,1.0,0.95,
ADAM,,0.9,0.85,1.0,0.95,
ADBE,,0.3,0.25,0.35,0.3,
ADC,,0.5,0.45,0.4,0.35,
ADCT,,0.9,0.85,,,
ADEA,,0.8,0.75,0.75,0.7,
ADI,,0.3,0.25,0.35,0.3,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
ACEL,,0.9,0.85,0.55,0.5,
ACES,,0.6,0.55,,,
ACGL,,0.3,0.25,0.35,0.3,
ACHC,,0.8,0.75,0.4,0.35,
ACHR,,0.5,0.45,0.65,0.6,
ACI,,0.3,0.25,0.35,0.3,
ACI1,,0.3,0.25,0.35,0.3,
ACIC,,0.9,0.85,0.75,0.7,
ACIO,,0.4,0.25,0.35,0.3,
ACIW,,0.7,0.65,0.4,0.35,
ACLC,,0.45,0.4,,,
ACLS,,0.8,0.75,0.45,0.4,
ACLX,,0.7,0.65,0.4,0.35,
ACM,,0.3,0.25,0.35,0.3,
ACMR,,0.8,0.75,0.6,0.55,
ACN,,0.3,0.25,0.35,0.3,
ACNB,,0.9,0.85,,,
ACP,,0.45,0.4,0.5,0.45,
ACRE,,0.9,0.85,,,
ACT,,0.4,0.35,0.45,0.4,
ACTG,,0.9,0.85,,,
ACVA,,0.7,0.65,0.45,0.4,
ACWI,,0.3,0.25,0.35,0.3,
ACWV,,0.3,0.25,0.35,0.3,
ACWX,,0.3,0.25,0.35,0.3,
AD,,1.0,1.0,1.0,0.95,
ADAM,,0.9,0.85,1.0,0.95,
ADBE,,0.3,0.25,0.35,0.3,
ADC,,0.5,0.45,0.4,0.35,
ADCT,,0.9,0.85,,,
ADEA,,0.8,0.75,0.75,0.7,
ADI,,0.3,0.25,0.35,0.3,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
AEM,,0.3,0.25,0.35,0.3,
ACES,,0.6,0.55,,,
ACGL,,0.3,0.25,0.35,0.3,
ACHC,,0.8,0.75,0.4,0.35,
ACHR,,0.5,0.45,0.65,0.6,
ACI,,0.3,0.25,0.35,0.3,
ACI1,,0.3,0.25,0.35,0.3,
ACIC,,0.9,0.85,0.75,0.7,
ACIO,,0.4,0.25,0.35,0.3,
ACIW,,0.7,0.65,0.4,0.35,
ACLC,,0.45,0.4,,,
ACLS,,0.8,0.75,0.45,0.4,
ACLX,,0.7,0.65,0.4,0.35,
ACM,,0.3,0.25,0.35,0.3,
ACMR,,0.8,0.75,0.6,0.55,
ACN,,0.3,0.25,0.35,0.3,
ACNB,,0.9,0.85,,,
ACP,,0.45,0.4,0.5,0.45,
ACRE,,0.9,0.85,,,
ACT,,0.4,0.35,0.45,0.4,
ACTG,,0.9,0.85,,,
ACVA,,0.7,0.65,0.45,0.4,
ACWI,,0.3,0.25,0.35,0.3,
ACWV,,0.3,0.25,0.35,0.3,
ACWX,,0.3,0.25,0.35,0.3,
AD,,1.0,1.0,1.0,0.95,
ADAM,,0.9,0.85,1.0,0.95,
ADBE,,0.3,0.25,0.35,0.3,
ADC,,0.5,0.45,0.4,0.35,
ADCT,,0.9,0.85,,,
ADEA,,0.8,0.75,0.75,0.7,
ADI,,0.3,0.25,0.35,0.3,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
AEM,,0.3,0.25,0.35,0.3,
AEO,,0.8,0.75,0.35,0.3,
ACGL,,0.3,0.25,0.35,0.3,
ACHC,,0.8,0.75,0.4,0.35,
ACHR,,0.5,0.45,0.65,0.6,
ACI,,0.3,0.25,0.35,0.3,
ACI1,,0.3,0.25,0.35,0.3,
ACIC,,0.9,0.85,0.75,0.7,
ACIO,,0.4,0.25,0.35,0.3,
ACIW,,0.7,0.65,0.4,0.35,
ACLC,,0.45,0.4,,,
ACLS,,0.8,0.75,0.45,0.4,
ACLX,,0.7,0.65,0.4,0.35,
ACM,,0.3,0.25,0.35,0.3,
ACMR,,0.8,0.75,0.6,0.55,
ACN,,0.3,0.25,0.35,0.3,
ACNB,,0.9,0.85,,,
ACP,,0.45,0.4,0.5,0.45,
ACRE,,0.9,0.85,,,
ACT,,0.4,0.35,0.45,0.4,
ACTG,,0.9,0.85,,,
ACVA,,0.7,0.65,0.45,0.4,
ACWI,,0.3,0.25,0.35,0.3,
ACWV,,0.3,0.25,0.35,0.3,
ACWX,,0.3,0.25,0.35,0.3,
AD,,1.0,1.0,1.0,0.95,
ADAM,,0.9,0.85,1.0,0.95,
ADBE,,0.3,0.25,0.35,0.3,
ADC,,0.5,0.45,0.4,0.35,
ADCT,,0.9,0.85,,,
ADEA,,0.8,0.75,0.75,0.7,
ADI,,0.3,0.25,0.35,0.3,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
AEM,,0.3,0.25,0.35,0.3,
AEO,,0.8,0.75,0.35,0.3,
AEP,,0.3,0.25,0.35,0.3,
ACHC,,0.8,0.75,0.4,0.35,
ACHR,,0.5,0.45,0.65,0.6,
ACI,,0.3,0.25,0.35,0.3,
ACI1,,0.3,0.25,0.35,0.3,
ACIC,,0.9,0.85,0.75,0.7,
ACIO,,0.4,0.25,0.35,0.3,
ACIW,,0.7,0.65,0.4,0.35,
ACLC,,0.45,0.4,,,
ACLS,,0.8,0.75,0.45,0.4,
ACLX,,0.7,0.65,0.4,0.35,
ACM,,0.3,0.25,0.35,0.3,
ACMR,,0.8,0.75,0.6,0.55,
ACN,,0.3,0.25,0.35,0.3,
ACNB,,0.9,0.85,,,
ACP,,0.45,0.4,0.5,0.45,
ACRE,,0.9,0.85,,,
ACT,,0.4,0.35,0.45,0.4,
ACTG,,0.9,0.85,,,
ACVA,,0.7,0.65,0.45,0.4,
ACWI,,0.3,0.25,0.35,0.3,
ACWV,,0.3,0.25,0.35,0.3,
ACWX,,0.3,0.25,0.35,0.3,
AD,,1.0,1.0,1.0,0.95,
ADAM,,0.9,0.85,1.0,0.95,
ADBE,,0.3,0.25,0.35,0.3,
ADC,,0.5,0.45,0.4,0.35,
ADCT,,0.9,0.85,,,
ADEA,,0.8,0.75,0.75,0.7,
ADI,,0.3,0.25,0.35,0.3,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
AEM,,0.3,0.25,0.35,0.3,
AEO,,0.8,0.75,0.35,0.3,
AEP,,0.3,0.25,0.35,0.3,
AER,,0.3,0.25,0.35,0.3,
ACHR,,0.5,0.45,0.65,0.6,
ACI,,0.3,0.25,0.35,0.3,
ACI1,,0.3,0.25,0.35,0.3,
ACIC,,0.9,0.85,0.75,0.7,
ACIO,,0.4,0.25,0.35,0.3,
ACIW,,0.7,0.65,0.4,0.35,
ACLC,,0.45,0.4,,,
ACLS,,0.8,0.75,0.45,0.4,
ACLX,,0.7,0.65,0.4,0.35,
ACM,,0.3,0.25,0.35,0.3,
ACMR,,0.8,0.75,0.6,0.55,
ACN,,0.3,0.25,0.35,0.3,
ACNB,,0.9,0.85,,,
ACP,,0.45,0.4,0.5,0.45,
ACRE,,0.9,0.85,,,
ACT,,0.4,0.35,0.45,0.4,
ACTG,,0.9,0.85,,,
ACVA,,0.7,0.65,0.45,0.4,
ACWI,,0.3,0.25,0.35,0.3,
ACWV,,0.3,0.25,0.35,0.3,
ACWX,,0.3,0.25,0.35,0.3,
AD,,1.0,1.0,1.0,0.95,
ADAM,,0.9,0.85,1.0,0.95,
ADBE,,0.3,0.25,0.35,0.3,
ADC,,0.5,0.45,0.4,0.35,
ADCT,,0.9,0.85,,,
ADEA,,0.8,0.75,0.75,0.7,
ADI,,0.3,0.25,0.35,0.3,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
AEM,,0.3,0.25,0.35,0.3,
AEO,,0.8,0.75,0.35,0.3,
AEP,,0.3,0.25,0.35,0.3,
AER,,0.3,0.25,0.35,0.3,
AERT,,1.0,0.7,,,
ACI,,0.3,0.25,0.35,0.3,
ACI1,,0.3,0.25,0.35,0.3,
ACIC,,0.9,0.85,0.75,0.7,
ACIO,,0.4,0.25,0.35,0.3,
ACIW,,0.7,0.65,0.4,0.35,
ACLC,,0.45,0.4,,,
ACLS,,0.8,0.75,0.45,0.4,
ACLX,,0.7,0.65,0.4,0.35,
ACM,,0.3,0.25,0.35,0.3,
ACMR,,0.8,0.75,0.6,0.55,
ACN,,0.3,0.25,0.35,0.3,
ACNB,,0.9,0.85,,,
ACP,,0.45,0.4,0.5,0.45,
ACRE,,0.9,0.85,,,
ACT,,0.4,0.35,0.45,0.4,
ACTG,,0.9,0.85,,,
ACVA,,0.7,0.65,0.45,0.4,
ACWI,,0.3,0.25,0.35,0.3,
ACWV,,0.3,0.25,0.35,0.3,
ACWX,,0.3,0.25,0.35,0.3,
AD,,1.0,1.0,1.0,0.95,
ADAM,,0.9,0.85,1.0,0.95,
ADBE,,0.3,0.25,0.35,0.3,
ADC,,0.5,0.45,0.4,0.35,
ADCT,,0.9,0.85,,,
ADEA,,0.8,0.75,0.75,0.7,
ADI,,0.3,0.25,0.35,0.3,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
AEM,,0.3,0.25,0.35,0.3,
AEO,,0.8,0.75,0.35,0.3,
AEP,,0.3,0.25,0.35,0.3,
AER,,0.3,0.25,0.35,0.3,
AERT,,1.0,0.7,,,
AES,,0.5,0.45,0.35,0.3,
ACI1,,0.3,0.25,0.35,0.3,
ACIC,,0.9,0.85,0.75,0.7,
ACIO,,0.4,0.25,0.35,0.3,
ACIW,,0.7,0.65,0.4,0.35,
ACLC,,0.45,0.4,,,
ACLS,,0.8,0.75,0.45,0.4,
ACLX,,0.7,0.65,0.4,0.35,
ACM,,0.3,0.25,0.35,0.3,
ACMR,,0.8,0.75,0.6,0.55,
ACN,,0.3,0.25,0.35,0.3,
ACNB,,0.9,0.85,,,
ACP,,0.45,0.4,0.5,0.45,
ACRE,,0.9,0.85,,,
ACT,,0.4,0.35,0.45,0.4,
ACTG,,0.9,0.85,,,
ACVA,,0.7,0.65,0.45,0.4,
ACWI,,0.3,0.25,0.35,0.3,
ACWV,,0.3,0.25,0.35,0.3,
ACWX,,0.3,0.25,0.35,0.3,
AD,,1.0,1.0,1.0,0.95,
ADAM,,0.9,0.85,1.0,0.95,
ADBE,,0.3,0.25,0.35,0.3,
ADC,,0.5,0.45,0.4,0.35,
ADCT,,0.9,0.85,,,
ADEA,,0.8,0.75,0.75,0.7,
ADI,,0.3,0.25,0.35,0.3,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
AEM,,0.3,0.25,0.35,0.3,
AEO,,0.8,0.75,0.35,0.3,
AEP,,0.3,0.25,0.35,0.3,
AER,,0.3,0.25,0.35,0.3,
AERT,,1.0,0.7,,,
AES,,0.5,0.45,0.35,0.3,
AESI,,0.8,0.75,0.9,0.85,
ACIC,,0.9,0.85,0.75,0.7,
ACIO,,0.4,0.25,0.35,0.3,
ACIW,,0.7,0.65,0.4,0.35,
ACLC,,0.45,0.4,,,
ACLS,,0.8,0.75,0.45,0.4,
ACLX,,0.7,0.65,0.4,0.35,
ACM,,0.3,0.25,0.35,0.3,
ACMR,,0.8,0.75,0.6,0.55,
ACN,,0.3,0.25,0.35,0.3,
ACNB,,0.9,0.85,,,
ACP,,0.45,0.4,0.5,0.45,
ACRE,,0.9,0.85,,,
ACT,,0.4,0.35,0.45,0.4,
ACTG,,0.9,0.85,,,
ACVA,,0.7,0.65,0.45,0.4,
ACWI,,0.3,0.25,0.35,0.3,
ACWV,,0.3,0.25,0.35,0.3,
ACWX,,0.3,0.25,0.35,0.3,
AD,,1.0,1.0,1.0,0.95,
ADAM,,0.9,0.85,1.0,0.95,
ADBE,,0.3,0.25,0.35,0.3,
ADC,,0.5,0.45,0.4,0.35,
ADCT,,0.9,0.85,,,
ADEA,,0.8,0.75,0.75,0.7,
ADI,,0.3,0.25,0.35,0.3,
ADM,,0.3,0.25,0.35,0.3,
ADMA,,0.7,0.65,0.5,0.45,
ADNT,,0.8,0.75,0.4,0.35,
ADP,,0.3,0.25,0.35,0.3,
ADPT,,0.8,0.75,0.75,0.7,
ADPV,,0.55,0.5,,,
ADS1,,0.8,0.75,0.45,0.4,
ADSK,,0.3,0.25,0.35,0.3,
ADT,,0.6,0.45,0.35,0.3,
ADTN,,0.9,0.85,0.7,0.65,
ADTX.OLD20250317,,1.0,1.0,2.5,2.0,
ADUS,,0.8,0.75,0.35,0.3,
AEE,,0.3,0.25,0.35,0.3,
AEF,,0.55,0.5,,,
AEG,,0.3,0.25,0.35,0.3,
AEHR,,0.9,0.85,0.8,0.75,
AEIS,,0.55,0.5,0.45,0.4,
AEM,,0.3,0.25,0.35,0.3,
AEO,,0.8,0.75,0.35,0.3,
AEP,,0.3,0.25,0.35,0.3,
AER,,0.3,0.25,0.35,0.3,
AERT,,1.0,0.7,,,
